id,account_type,center_id,center_name,center_sub_type,center_type,company_id,create_time,description,is_active,parent_center_id,system_source
17,Vendor,3200,Contract Negotiations,SUPPORT,COST,N100,2024-08-02 09:45:46.000000 +00:00,계약 협상,Y,3000,ABC
18,Material,4300,Quality Control,OPERATIONAL,COST,N100,2024-08-02 09:45:46.000000 +00:00,품질 관리,Y,4000,ABC
19,G/L Account,5300,Budgeting,ADMINISTRATIVE,COST,N100,2024-08-02 09:45:46.000000 +00:00,예산 관리,Y,5000,ABC
20,Customer,2400,Asia Sales,REVENUE,PROFIT,N100,2024-08-02 09:45:46.000000 +00:00,아시아 판매,Y,2200,ABC
21,Assets,1400,R&D Department,SUPPORT,COST,N100,2024-08-02 09:45:46.000000 +00:00,연구 개발 부서,Y,1000,ABC
22,Customer,2500,North America Sales,REVENUE,PROFIT,N100,2024-08-02 09:45:46.000000 +00:00,북미 지역 판매,Y,2200,ABC
23,Vendor,3300,Inventory Management,OPERATIONAL,COST,N100,2024-08-02 09:45:46.000000 +00:00,재고 관리,Y,3000,ABC
24,Material,4400,Packaging,OPERATIONAL,COST,N100,2024-08-02 09:45:46.000000 +00:00,포장,Y,4000,ABC
25,G/L Account,5400,Treasury,ADMINISTRATIVE,COST,N100,2024-08-02 09:45:46.000000 +00:00,재무 부서,Y,5000,ABC
26,Assets,1500,Marketing Department,SUPPORT,COST,N100,2024-08-02 09:45:46.000000 +00:00,마케팅 부서,Y,1000,ABC
27,Customer,2600,South America Sales,REVENUE,PROFIT,N100,2024-08-02 09:45:46.000000 +00:00,남미 판매,Y,2200,ABC
28,Vendor,3400,Logistics,SUPPORT,COST,N100,2024-08-02 09:45:46.000000 +00:00,물류,Y,3000,ABC
29,Material,4500,Raw Materials Storage,OPERATIONAL,COST,N100,2024-08-02 09:45:46.000000 +00:00,원자재 보관,Y,4000,ABC
30,G/L Account,5500,Internal Audit,ADMINISTRATIVE,COST,N100,2024-08-02 09:45:46.000000 +00:00,내부 감사,Y,5000,ABC
31,Assets,1600,Facilities Management,SUPPORT,COST,N100,2024-08-02 09:45:46.000000 +00:00,시설 관리,Y,1000,ABC
32,Customer,2700,Middle East Sales,REVENUE,PROFIT,N100,2024-08-02 09:45:46.000000 +00:00,중동 판매,Y,2200,ABC
33,Vendor,3500,Supplier Quality,SUPPORT,COST,N100,2024-08-02 09:45:46.000000 +00:00,공급업체 품질 관리,Y,3000,ABC
34,Material,4600,Component Manufacturing,OPERATIONAL,COST,N100,2024-08-02 09:45:46.000000 +00:00,부품 제조,Y,4000,ABC
35,G/L Account,5600,Risk Management,ADMINISTRATIVE,COST,N100,2024-08-02 09:45:46.000000 +00:00,리스크 관리,Y,5000,ABC
36,Assets,1700,Public Relations,SUPPORT,COST,N100,2024-08-02 09:45:46.000000 +00:00,홍보 부서,Y,1000,ABC
37,Customer,2800,Africa Sales,REVENUE,PROFIT,N100,2024-08-02 09:45:46.000000 +00:00,아프리카 판매,Y,2200,ABC
38,Vendor,3600,Supplier Development,SUPPORT,COST,N100,2024-08-02 09:45:46.000000 +00:00,공급업체 개발,Y,3000,ABC
39,Material,4700,Product Testing,OPERATIONAL,COST,N100,2024-08-02 09:45:46.000000 +00:00,제품 테스트,Y,4000,ABC
40,G/L Account,5700,Compliance,ADMINISTRATIVE,COST,N100,2024-08-02 09:45:46.000000 +00:00,규정 준수,Y,5000,ABC
41,Assets,1800,Strategic Planning,ADMINISTRATIVE,COST,N100,2024-08-02 09:45:46.000000 +00:00,전략 계획,Y,1000,ABC
42,Customer,2900,Australia Sales,REVENUE,PROFIT,N100,2024-08-02 09:45:46.000000 +00:00,호주 판매,Y,2200,ABC
43,Vendor,3700,Supplier Development,SUPPORT,COST,N100,2024-08-02 09:45:46.000000 +00:00,공급업체 개발,Y,3000,ABC
44,Material,4800,Production Maintenance,OPERATIONAL,COST,N100,2024-08-02 09:45:46.000000 +00:00,생산 유지보수,Y,4000,ABC
45,G/L Account,5800,Financial Reporting,ADMINISTRATIVE,COST,N100,2024-08-02 09:45:46.000000 +00:00,재무 보고서,Y,5000,ABC
46,Assets,1900,Business Development,SUPPORT,COST,N100,2024-08-02 09:45:46.000000 +00:00,사업 개발,Y,1000,ABC
47,Customer,3000,Global Sales Operations,REVENUE,PROFIT,N100,2024-08-02 09:45:46.000000 +00:00,글로벌 판매 운영,Y,2200,ABC
48,Vendor,3800,Supply Chain Management,SUPPORT,COST,N100,2024-08-02 09:45:46.000000 +00:00,공급망 관리,Y,3000,ABC
49,Material,4900,Production Maintenance,OPERATIONAL,COST,N100,2024-08-02 09:45:46.000000 +00:00,생산 유지보수,Y,4000,ABC
50,G/L Account,5900,Taxation,ADMINISTRATIVE,COST,N100,2024-08-02 09:45:46.000000 +00:00,세무,Y,5000,ABC
